GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
zdms-jacoco-aggregated-reports/zdms,com.zoetis.zdms.model,ProductMediaFile,95,3,0,0,10,1,18,1,18,1
zdms-jacoco-aggregated-reports/zdms,com.zoetis.zdms.model,QProduct,76,155,0,0,2,17,1,3,1,3
zdms-jacoco-aggregated-reports/zdms,com.zoetis.zdms.model,ContactDetails,146,28,30,0,2,4,23,5,8,5
zdms-jacoco-aggregated-reports/zdms,com.zoetis.zdms.model,QCustomerStatus,18,89,0,2,4,17,2,5,2,4
zdms-jacoco-aggregated-reports/zdms,com.zoetis.zdms.model,User,135,36,30,0,0,5,21,6,6,6
zdms-jacoco-aggregated-reports/zdms,com.zoetis.zdms.model,CustomerPartial,155,0,30,0,4,0,26,0,11,0
zdms-jacoco-aggregated-reports/zdms,com.zoetis.zdms.model,QProductStatus,20,125,2,2,4,22,4,4,2,4
zdms-jacoco-aggregated-reports/zdms,com.zoetis.zdms.model,Address,220,42,46,0,2,6,33,7,10,7
zdms-jacoco-aggregated-reports/zdms,com.zoetis.zdms.model,Customer,635,67,126,0,17,1,98,2,35,2
zdms-jacoco-aggregated-reports/zdms,com.zoetis.zdms.model,Audit,260,46,54,0,3,6,39,7,12,7
zdms-jacoco-aggregated-reports/zdms,com.zoetis.zdms.model,QProductMediaFile,25,76,1,1,6,14,4,3,3,3
zdms-jacoco-aggregated-reports/zdms,com.zoetis.zdms.model,ProductStatus,164,0,0,0,17,0,31,0,31,0
zdms-jacoco-aggregated-reports/zdms,com.zoetis.zdms.model,Product,142,0,0,0,15,0,27,0,27,0
zdms-jacoco-aggregated-reports/zdms,com.zoetis.zdms.model,SourceSystem,54,0,0,0,7,0,11,0,11,0
zdms-jacoco-aggregated-reports/zdms,com.zoetis.zdms.model,QAudit,76,44,0,0,4,9,2,2,2,2
zdms-jacoco-aggregated-reports/zdms,com.zoetis.zdms.model,ProductPartial,315,0,62,0,8,0,50,0,19,0
zdms-jacoco-aggregated-reports/zdms,com.zoetis.zdms.model,NullableValue,35,0,2,0,7,0,6,0,5,0
zdms-jacoco-aggregated-reports/zdms,com.zoetis.zdms.model,QCustomer,18,126,0,4,4,23,2,6,2,4
zdms-jacoco-aggregated-reports/zdms,com.zoetis.zdms.model.dictionary.localized.customerstate,LocalizedCustomerStateId,18,0,0,0,4,0,4,0,4,0
